"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","GA1","GA2","GA3","GE1","GF1","MA1","MW1","REM","EQD"
"76361599999","2025-01-03T16:43:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","310,1,N,0026,1","22000,1,9,N","009656,1,9,9","+0180,1","+0170,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10190,1,99999,9",,"MET055METAR MMLM 031643Z 31005KT 6SM SKC 18/17 A3009 RMK HZY=",
"76361599999","2025-01-03T17:22:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-16","99999","V020","310,1,N,0036,1","22000,1,9,N","012875,1,9,9","+0210,1","+0170,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,1,99999,9",,"MET055SPECI MMLM 031722Z 31007KT 8SM SKC 21/17 A3008 RMK HZY=",
"76361599999","2025-01-03T17:42:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0031,1","22000,1,9,N","012875,1,9,9","+0220,1","+0150,1","10187,1",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10186,1,99999,9",,"MET062METAR MMLM 031742Z 30006KT 8SM SKC 22/15 A3008 RMK SLP187 HZY=",
"76361599999","2025-01-03T18:43:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","300,1,N,0031,1","22000,1,9,N","012875,1,9,9","+0250,1","+0140,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10176,1,99999,9",,"MET055METAR MMLM 031843Z 30006KT 8SM SKC 25/14 A3005 RMK HZY=",
"76361599999","2025-01-03T19:43:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0026,1","22000,1,9,N","016093,1,9,9","+0260,1","+0130,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10166,1,99999,9",,"MET048METAR MMLM 031943Z 29005KT 10SM SKC 26/13 A3002=",
"76361599999","2025-01-03T20:44:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","250,1,N,0036,1","22000,1,9,N","016093,1,9,9","+0280,1","+0150,1","10156,1",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10156,1,99999,9",,"MET059METAR MMLM 032044Z 25007KT 10SM SKC 28/15 A2999 RMK SLP156=",
"76361599999","2025-01-03T21:46:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","270,1,N,0057,1","22000,1,9,N","016093,1,9,9","+0270,1","+0140,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10152,1,99999,9",,"MET048METAR MMLM 032146Z 27011KT 10SM SKC 27/14 A2998=",
"76361599999","2025-01-03T22:42:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","290,1,N,0046,1","22000,1,9,N","016093,1,9,9","+0260,1","+0110,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10149,1,99999,9",,"MET048METAR MMLM 032242Z 29009KT 10SM SKC 26/11 A2997=",
"76361599999","2025-01-03T23:44:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","280,1,N,0041,1","22000,1,9,N","016093,1,9,9","+0250,1","+0120,1","10146,1",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10146,1,99999,9",,"MET059METAR MMLM 032344Z 28008KT 10SM SKC 25/12 A2996 RMK SLP146=",
"76361599999","2025-01-04T00:40:00","4","25.685194","-109.080806","4.87","VALLE DEL FUERTE INTERNATIONAL, MX","FM-15","99999","V020","270,1,N,0041,1","22000,1,9,N","016093,1,9,9","+0230,1","+0130,1","99999,9",,,,,"00,99,1,99,9,99,9,99999,9,99,9,99,9","10146,1,99999,9",,"MET060METAR MMLM 040040Z 27008KT 10SM SKC 23/13 A2996 RMK ISOL CI=",
